date,latitude,longitude,magnitude
2012-05-08 07:31:00,37.0287,28.5287,4.3
2012-05-04 05:38:00,40.318,27.018,4.2
2012-05-04 02:00:00,39.1023,29.1023,4.5
2012-05-03 21:45:00,39.1057,29.1057,4.7
2012-05-03 17:10:00,39.1968,29.0968,4.4
2012-05-03 16:16:00,39.139,29.039,4.6
2012-05-03 15:25:00,39.1262,29.1262,4.0
2012-05-03 15:20:00,39.11,29.11,5.2
2012-05-03 06:24:00,36.0618,33.7618,4.0
2012-05-03 01:57:00,38.6305,26.6305,4.1
2012-05-02 06:48:00,38.6632,26.6632,4.3
2012-05-02 06:40:00,38.6345,26.6345,4.4
2012-05-02 00:02:00,38.6412,26.6412,4.3
2012-05-01 14:48:00,38.6262,26.6262,4.8
2012-04-28 03:17:00,38.541,40.741,4.6
2012-04-26 22:05:00,39.1128,29.1128,4.8
2012-04-23 16:14:00,39.049,29.149,4.0
2012-04-23 16:14:00,39.1438,29.1438,4.3
2012-04-20 16:39:00,39.1975,29.0975,4.4
2012-04-19 19:52:00,39.1382,29.1382,4.5
2012-04-17 20:45:00,39.1142,29.1142,4.5
2012-04-16 10:11:00,39.136,29.136,4.6
2012-04-16 10:10:00,39.1222,29.1222,4.7
2012-04-10 16:40:00,38.1462,39.0462,4.0
2012-04-10 06:01:00,36.766,28.166,4.0
2012-04-04 14:18:00,39.3317,41.0317,4.3
2012-04-04 11:05:00,36.9705,37.0705,4.7
2012-04-04 00:33:00,37.9537,29.4537,4.3
2012-03-29 10:13:00,38.604,30.004,4.2
2012-03-23 12:37:00,39.665,26.065,4.0
2012-03-20 15:11:00,36.4893,41.1893,4.2
2012-02-24 01:00:00,39.5725,26.0725,4.0
2012-02-20 06:34:00,38.175,27.475,4.4
2012-02-16 11:01:00,38.6995,37.3995,4.6
2012-02-15 02:34:00,36.2157,28.7157,4.5
2012-02-12 19:17:00,36.7343,27.3343,4.2
2012-02-12 04:49:00,37.4665,38.6665,4.1
2012-02-08 19:57:00,39.2725,27.8725,4.2
2012-01-27 19:06:00,37.5838,27.1838,4.0
2012-01-27 17:43:00,37.4508,27.1508,4.2
2012-01-23 18:23:00,36.1798,28.4798,4.0
2012-01-21 00:45:00,39.9932,41.6932,4.1
2012-01-20 01:36:00,36.14,28.44,4.1
2012-01-14 05:52:00,40.0527,38.3527,4.2
2012-01-12 00:26:00,36.0203,31.2203,4.6
2012-01-10 21:55:00,39.3695,35.2695,4.2
2012-01-06 20:35:00,36.1177,29.0177,4.2
2011-12-27 07:51:00,37.9563,27.1563,4.4
2011-12-27 05:59:00,37.9748,27.1748,4.1
2011-12-15 06:37:00,36.92,30.32,4.0
2011-12-10 05:15:00,38.81,30.21,4.1
2011-12-05 08:30:00,38.85,26.35,4.1
2011-12-05 08:17:00,38.8337,26.3337,4.8
2011-11-22 04:50:00,39.093,35.893,4.5
2011-11-19 08:08:00,38.1132,38.7132,4.1
2011-11-17 02:37:00,39.1725,41.5725,4.4
